# d   N   estimate   stderr
3   64   643.125   151.924001065
3   128   459.375   94.3537686952
3   256   505.3125   69.3236867478
3   512   413.4375   45.1684279339
3   1024   516.796875   34.9707439458
3   2048   498.134765625   24.3707725322
3   4096   458.657226562   16.6689224967
3   8192   476.242675781   11.9679053867
3   16384   469.423828125   8.41340354124
3   32768   482.882080078   6.01739577268
3   65536   491.854248047   4.28644132383
3   131072   492.168273926   3.0317446785
3   262144   489.185028076   2.13856216796
3   524288   486.297111511   1.5086096217
3   1048576   487.404613495   1.06772107411
3   2097152   487.274236679   0.754911892185
3   4194304   487.750883102   0.534012438905
3   8388608   487.611744404   0.377560664991
3   16777216   487.825534344   0.26702258715
